ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
65,Agusan del Norte,1,BUTUAN CITY,1,AGAO POB. (BGY. 3)
65,Agusan del Norte,1,BUTUAN CITY,2,AGUSAN PEQUEÑO
65,Agusan del Norte,1,BUTUAN CITY,3,AMBAGO
65,Agusan del Norte,1,BUTUAN CITY,4,AMPARO
65,Agusan del Norte,1,BUTUAN CITY,5,AMPAYON
65,Agusan del Norte,1,BUTUAN CITY,6,ANTICALA
65,Agusan del Norte,1,BUTUAN CITY,7,ANTONGALON
65,Agusan del Norte,1,BUTUAN CITY,8,AUPAGAN
65,Agusan del Norte,1,BUTUAN CITY,9,BAAN KM 3
65,Agusan del Norte,1,BUTUAN CITY,10,BAAN RIVERSIDE POB. (BGY. 20)
65,Agusan del Norte,1,BUTUAN CITY,11,BABAG
65,Agusan del Norte,1,BUTUAN CITY,12,BADING POB. (BGY. 22)
65,Agusan del Norte,1,BUTUAN CITY,13,BANCASI
65,Agusan del Norte,1,BUTUAN CITY,14,BANZA
65,Agusan del Norte,1,BUTUAN CITY,15,BAOBAOAN
65,Agusan del Norte,1,BUTUAN CITY,16,BASAG
65,Agusan del Norte,1,BUTUAN CITY,17,BAYANIHAN POB. (BGY. 27)
65,Agusan del Norte,1,BUTUAN CITY,18,BILAY
65,Agusan del Norte,1,BUTUAN CITY,19,BITAN-AGAN
65,Agusan del Norte,1,BUTUAN CITY,20,BIT-OS
65,Agusan del Norte,1,BUTUAN CITY,21,BOBON
65,Agusan del Norte,1,BUTUAN CITY,22,BONBON
65,Agusan del Norte,1,BUTUAN CITY,23,BUGABUS
65,Agusan del Norte,1,BUTUAN CITY,24,BUGSUKAN
65,Agusan del Norte,1,BUTUAN CITY,25,BUHANGIN POB. (BGY. 19)
65,Agusan del Norte,1,BUTUAN CITY,26,CABCABON
65,Agusan del Norte,1,BUTUAN CITY,27,CAMAYAHAN
65,Agusan del Norte,1,BUTUAN CITY,28,DAGOHOY POB. (BGY. 7)
65,Agusan del Norte,1,BUTUAN CITY,29,DANKIAS
65,Agusan del Norte,1,BUTUAN CITY,30,DE ORO
65,Agusan del Norte,1,BUTUAN CITY,31,DIEGO SILANG POB. (BGY. 6)
65,Agusan del Norte,1,BUTUAN CITY,32,DON FRANCISCO
65,Agusan del Norte,1,BUTUAN CITY,33,DOONGAN
65,Agusan del Norte,1,BUTUAN CITY,34,DULAG
65,Agusan del Norte,1,BUTUAN CITY,35,DUMALAGAN
65,Agusan del Norte,1,BUTUAN CITY,36,FLORIDA
65,Agusan del Norte,1,BUTUAN CITY,37,GOLDEN RIBBON POB. (BGY. 2)
65,Agusan del Norte,1,BUTUAN CITY,38,HOLY REDEEMER POB. (BGY. 23)
65,Agusan del Norte,1,BUTUAN CITY,39,HUMABON POB. (BGY. 11)
65,Agusan del Norte,1,BUTUAN CITY,40,IMADEJAS POB. (BGY. 24)
65,Agusan del Norte,1,BUTUAN CITY,41,JOSE RIZAL POB. (BGY. 25)
65,Agusan del Norte,1,BUTUAN CITY,42,KINAMLUTAN
65,Agusan del Norte,1,BUTUAN CITY,43,LAPU-LAPU POB. (BGY. 8)
65,Agusan del Norte,1,BUTUAN CITY,44,LEMON
65,Agusan del Norte,1,BUTUAN CITY,45,LEON KILAT POB. (BGY. 13)
65,Agusan del Norte,1,BUTUAN CITY,46,LIBERTAD
65,Agusan del Norte,1,BUTUAN CITY,47,LIMAHA POB. (BGY. 14)
65,Agusan del Norte,1,BUTUAN CITY,48,LOS ANGELES
65,Agusan del Norte,1,BUTUAN CITY,49,LUMBOCAN
65,Agusan del Norte,1,BUTUAN CITY,50,MAGUINDA
65,Agusan del Norte,1,BUTUAN CITY,51,MAHAY
65,Agusan del Norte,1,BUTUAN CITY,52,MAHOGANY POB. (BGY. 21)
65,Agusan del Norte,1,BUTUAN CITY,53,MAIBU
65,Agusan del Norte,1,BUTUAN CITY,54,MANDAMO
65,Agusan del Norte,1,BUTUAN CITY,55,MANILA DE BUGABUS
65,Agusan del Norte,1,BUTUAN CITY,56,MAON POB. (BGY. 1)
65,Agusan del Norte,1,BUTUAN CITY,57,MASAO
65,Agusan del Norte,1,BUTUAN CITY,58,MAUG
65,Agusan del Norte,1,BUTUAN CITY,59,NEW SOCIETY VILLAGE POB. (BGY. 26)
65,Agusan del Norte,1,BUTUAN CITY,60,NONG-NONG
65,Agusan del Norte,1,BUTUAN CITY,61,OBRERO POB. (BGY. 18)
65,Agusan del Norte,1,BUTUAN CITY,62,ONG YIU POB. (BGY. 16)
65,Agusan del Norte,1,BUTUAN CITY,63,PAGATPATAN
65,Agusan del Norte,1,BUTUAN CITY,64,PANGABUGAN
65,Agusan del Norte,1,BUTUAN CITY,65,PIANING
65,Agusan del Norte,1,BUTUAN CITY,66,PIGDAULAN
65,Agusan del Norte,1,BUTUAN CITY,67,PINAMANCULAN
65,Agusan del Norte,1,BUTUAN CITY,68,PORT POYOHON POB. (BGY. 17 - NEW ASIA)
65,Agusan del Norte,1,BUTUAN CITY,69,RAJAH SOLIMAN POB. (BGY. 4)
65,Agusan del Norte,1,BUTUAN CITY,70,SALVACION
65,Agusan del Norte,1,BUTUAN CITY,71,SAN IGNACIO POB. (BGY. 15)
65,Agusan del Norte,1,BUTUAN CITY,72,SAN MATEO
65,Agusan del Norte,1,BUTUAN CITY,73,SAN VICENTE
65,Agusan del Norte,1,BUTUAN CITY,74,SANTO NIÑO
65,Agusan del Norte,1,BUTUAN CITY,75,SIKATUNA POB. (BGY. 10)
65,Agusan del Norte,1,BUTUAN CITY,76,SILONGAN POB. (BGY. 5)
65,Agusan del Norte,1,BUTUAN CITY,77,SUMILE
65,Agusan del Norte,1,BUTUAN CITY,78,SUMILIHON
65,Agusan del Norte,1,BUTUAN CITY,79,TAGABACA
65,Agusan del Norte,1,BUTUAN CITY,80,TAGUIBO
65,Agusan del Norte,1,BUTUAN CITY,81,TALIGAMAN
65,Agusan del Norte,1,BUTUAN CITY,82,TANDANG SORA POB. (BGY. 12)
65,Agusan del Norte,1,BUTUAN CITY,83,TINIWISAN
65,Agusan del Norte,1,BUTUAN CITY,84,TUNGAO
65,Agusan del Norte,1,BUTUAN CITY,85,URDUJA POB. (BGY. 9)
65,Agusan del Norte,1,BUTUAN CITY,86,VILLA KANANGA
