ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
66,Agusan del Sur,1,BAYUGAN CITY,1,BERSEBA
66,Agusan del Sur,1,BAYUGAN CITY,2,BUCAC
66,Agusan del Sur,1,BAYUGAN CITY,3,CAGBAS
66,Agusan del Sur,1,BAYUGAN CITY,4,CALAITAN
66,Agusan del Sur,1,BAYUGAN CITY,5,CANAYUGAN
66,Agusan del Sur,1,BAYUGAN CITY,6,CHARITO
66,Agusan del Sur,1,BAYUGAN CITY,7,CLARO CORTEZ
66,Agusan del Sur,1,BAYUGAN CITY,8,FILI
66,Agusan del Sur,1,BAYUGAN CITY,9,GAMAO
66,Agusan del Sur,1,BAYUGAN CITY,10,GETSEMANE
66,Agusan del Sur,1,BAYUGAN CITY,11,GRACE ESTATE
66,Agusan del Sur,1,BAYUGAN CITY,12,HAMOGAWAY
66,Agusan del Sur,1,BAYUGAN CITY,13,KATIPUNAN
66,Agusan del Sur,1,BAYUGAN CITY,14,MABUHAY
66,Agusan del Sur,1,BAYUGAN CITY,15,MAGKIANGKANG
66,Agusan del Sur,1,BAYUGAN CITY,16,MAHAYAG
66,Agusan del Sur,1,BAYUGAN CITY,17,MARCELINA
66,Agusan del Sur,1,BAYUGAN CITY,18,MAYGATASAN
66,Agusan del Sur,1,BAYUGAN CITY,19,MONTIVESTA
66,Agusan del Sur,1,BAYUGAN CITY,20,MT. ARARAT
66,Agusan del Sur,1,BAYUGAN CITY,21,MT. CARMEL
66,Agusan del Sur,1,BAYUGAN CITY,22,MT. OLIVE
66,Agusan del Sur,1,BAYUGAN CITY,23,NEW SALEM
66,Agusan del Sur,1,BAYUGAN CITY,24,NOLI
66,Agusan del Sur,1,BAYUGAN CITY,25,OSMEÑA
66,Agusan del Sur,1,BAYUGAN CITY,26,PANAYTAY
66,Agusan del Sur,1,BAYUGAN CITY,27,PINAGALAAN
66,Agusan del Sur,1,BAYUGAN CITY,28,POBLACION
66,Agusan del Sur,1,BAYUGAN CITY,29,SAGMONE
66,Agusan del Sur,1,BAYUGAN CITY,30,SAGUMA
66,Agusan del Sur,1,BAYUGAN CITY,31,SALVACION
66,Agusan del Sur,1,BAYUGAN CITY,32,SAN AGUSTIN
66,Agusan del Sur,1,BAYUGAN CITY,33,SAN ISIDRO
66,Agusan del Sur,1,BAYUGAN CITY,34,SAN JUAN
66,Agusan del Sur,1,BAYUGAN CITY,35,SANTA IRENE
66,Agusan del Sur,1,BAYUGAN CITY,36,SANTA TERESITA
66,Agusan del Sur,1,BAYUGAN CITY,37,SANTO NIÑO
66,Agusan del Sur,1,BAYUGAN CITY,38,TAGLATAWAN
66,Agusan del Sur,1,BAYUGAN CITY,39,TAGLIBAS
66,Agusan del Sur,1,BAYUGAN CITY,40,TAGUBAY
66,Agusan del Sur,1,BAYUGAN CITY,41,VERDU
66,Agusan del Sur,1,BAYUGAN CITY,42,VILLA UNDAYON
66,Agusan del Sur,1,BAYUGAN CITY,43,WAWA
66,Agusan del Sur,1,BAYUGAN CITY,44,WEST BAYUGAN
66,Agusan del Sur,1,BAYUGAN CITY,45,BATAC
66,Agusan del Sur,1,BAYUGAN CITY,46,AZUCENA
66,Agusan del Sur,2,ESPERANZA,1,AGSABU
66,Agusan del Sur,2,ESPERANZA,2,AGUINALDO
66,Agusan del Sur,2,ESPERANZA,3,ANOLINGAN
66,Agusan del Sur,2,ESPERANZA,4,BAKINGKING
66,Agusan del Sur,2,ESPERANZA,5,BALUBO
66,Agusan del Sur,2,ESPERANZA,6,BENTAHON
66,Agusan del Sur,2,ESPERANZA,7,BUNAGUIT
66,Agusan del Sur,2,ESPERANZA,8,CATMONON
66,Agusan del Sur,2,ESPERANZA,9,CEBULAN
66,Agusan del Sur,2,ESPERANZA,10,CONCORDIA
66,Agusan del Sur,2,ESPERANZA,11,CROSSING LUNA
66,Agusan del Sur,2,ESPERANZA,12,CUBO
66,Agusan del Sur,2,ESPERANZA,13,DAKUTAN
66,Agusan del Sur,2,ESPERANZA,14,DUANGAN
66,Agusan del Sur,2,ESPERANZA,15,GUADALUPE
66,Agusan del Sur,2,ESPERANZA,16,GUIBONON
66,Agusan del Sur,2,ESPERANZA,17,HAWILIAN
66,Agusan del Sur,2,ESPERANZA,18,KALABUAN
66,Agusan del Sur,2,ESPERANZA,19,KINAMAYBAY
66,Agusan del Sur,2,ESPERANZA,20,LABAO
66,Agusan del Sur,2,ESPERANZA,21,LANGAG
66,Agusan del Sur,2,ESPERANZA,22,MAASIN
66,Agusan del Sur,2,ESPERANZA,23,MAC-ARTHUR
66,Agusan del Sur,2,ESPERANZA,24,MAHAGCOT
66,Agusan del Sur,2,ESPERANZA,25,MALIWANAG
66,Agusan del Sur,2,ESPERANZA,26,MILAGROS
66,Agusan del Sur,2,ESPERANZA,27,NATO
66,Agusan del Sur,2,ESPERANZA,28,NEW GINGOOG
66,Agusan del Sur,2,ESPERANZA,29,ODIONG
66,Agusan del Sur,2,ESPERANZA,30,ORO
66,Agusan del Sur,2,ESPERANZA,31,PIGLAWIGAN
66,Agusan del Sur,2,ESPERANZA,32,POBLACION
66,Agusan del Sur,2,ESPERANZA,33,REMEDIOS
66,Agusan del Sur,2,ESPERANZA,34,SALUG
66,Agusan del Sur,2,ESPERANZA,35,SAN ISIDRO
66,Agusan del Sur,2,ESPERANZA,36,SAN JOSE
66,Agusan del Sur,2,ESPERANZA,37,SAN TORIBIO
66,Agusan del Sur,2,ESPERANZA,38,SAN VICENTE
66,Agusan del Sur,2,ESPERANZA,39,SANTA FE
66,Agusan del Sur,2,ESPERANZA,40,SEGUNDA
66,Agusan del Sur,2,ESPERANZA,41,SINAKUNGAN
66,Agusan del Sur,2,ESPERANZA,42,TAGABASE
66,Agusan del Sur,2,ESPERANZA,43,TAGANAHAW
66,Agusan del Sur,2,ESPERANZA,44,TAGBALILI
66,Agusan del Sur,2,ESPERANZA,45,TAHINA
66,Agusan del Sur,2,ESPERANZA,46,TANDANG SORA
66,Agusan del Sur,2,ESPERANZA,47,VALENTINA
66,Agusan del Sur,3,PROSPERIDAD,1,AURORA
66,Agusan del Sur,3,PROSPERIDAD,2,AWA
66,Agusan del Sur,3,PROSPERIDAD,3,AZPETIA
66,Agusan del Sur,3,PROSPERIDAD,4,LA CARIDAD
66,Agusan del Sur,3,PROSPERIDAD,5,LA PERIAN
66,Agusan del Sur,3,PROSPERIDAD,6,LA PURISIMA
66,Agusan del Sur,3,PROSPERIDAD,7,LA SUERTE
