ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
62,Bukidnon,1,BAUNGON,1,BALINTAD
62,Bukidnon,1,BAUNGON,2,BUENAVISTA
62,Bukidnon,1,BAUNGON,3,DANATAG
62,Bukidnon,1,BAUNGON,4,IMBATUG (POB.)
62,Bukidnon,1,BAUNGON,5,KALILANGAN
62,Bukidnon,1,BAUNGON,6,LACOLAC
62,Bukidnon,1,BAUNGON,7,LANGAON
62,Bukidnon,1,BAUNGON,8,LIBORAN
62,Bukidnon,1,BAUNGON,9,LINGATING
62,Bukidnon,1,BAUNGON,10,MABUHAY
62,Bukidnon,1,BAUNGON,11,MABUNGA
62,Bukidnon,1,BAUNGON,12,NICDAO
62,Bukidnon,1,BAUNGON,13,PUALAS
62,Bukidnon,1,BAUNGON,14,SALIMBALAN
62,Bukidnon,1,BAUNGON,15,SAN MIGUEL
62,Bukidnon,1,BAUNGON,16,SAN VICENTE
62,Bukidnon,2,KALILANGAN,1,BABORAWON
62,Bukidnon,2,KALILANGAN,2,BANGBANG
62,Bukidnon,2,KALILANGAN,3,CANITUAN
62,Bukidnon,2,KALILANGAN,4,KIBANING
62,Bukidnon,2,KALILANGAN,5,KINURA
62,Bukidnon,2,KALILANGAN,6,LAMPANUSAN
62,Bukidnon,2,KALILANGAN,7,MACA-OPAO
62,Bukidnon,2,KALILANGAN,8,MALINAO
62,Bukidnon,2,KALILANGAN,9,NINOY AQUINO
62,Bukidnon,2,KALILANGAN,10,PAMOTOLON (PAMOTDON)
62,Bukidnon,2,KALILANGAN,11,POBLACION
62,Bukidnon,2,KALILANGAN,12,PUBLIC
62,Bukidnon,2,KALILANGAN,13,SAN VICENTE FERRER
62,Bukidnon,2,KALILANGAN,14,WEST POBLACION
62,Bukidnon,3,LIBONA,1,CAPIHAN
62,Bukidnon,3,LIBONA,2,CROSSING
62,Bukidnon,3,LIBONA,3,GANGO
62,Bukidnon,3,LIBONA,4,KILIOG
62,Bukidnon,3,LIBONA,5,KINAWE
62,Bukidnon,3,LIBONA,6,LATURAN
62,Bukidnon,3,LIBONA,7,MAAMBONG
62,Bukidnon,3,LIBONA,8,NANGKA
62,Bukidnon,3,LIBONA,9,PALABUCAN
62,Bukidnon,3,LIBONA,10,POBLACION
62,Bukidnon,3,LIBONA,11,PONGOL
62,Bukidnon,3,LIBONA,12,SAN JOSE
62,Bukidnon,3,LIBONA,13,SANTA FE
62,Bukidnon,3,LIBONA,14,SIL-IPON
62,Bukidnon,4,MALITBOG,1,KALINGKING
62,Bukidnon,4,MALITBOG,2,KIABO
62,Bukidnon,4,MALITBOG,3,MINDAGAT
62,Bukidnon,4,MALITBOG,4,OMAGLING
62,Bukidnon,4,MALITBOG,5,PATPAT
62,Bukidnon,4,MALITBOG,6,POBLACION
