ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
63,Camiguin,1,CATARMAN,1,ALGA
63,Camiguin,1,CATARMAN,2,BONBON
63,Camiguin,1,CATARMAN,3,BURA
63,Camiguin,1,CATARMAN,4,CATIBAC
63,Camiguin,1,CATARMAN,5,COMPOL
63,Camiguin,1,CATARMAN,6,LAWIGAN
63,Camiguin,1,CATARMAN,7,LILOAN
63,Camiguin,1,CATARMAN,8,LOOC
63,Camiguin,1,CATARMAN,9,MAINIT
63,Camiguin,1,CATARMAN,10,MANDUAO
63,Camiguin,1,CATARMAN,11,PANGHIAWAN
63,Camiguin,1,CATARMAN,12,POBLACION
63,Camiguin,1,CATARMAN,13,SANTO NIÑO
63,Camiguin,1,CATARMAN,14,TANGARO
63,Camiguin,2,GUINSILIBAN,1,BUTAY
63,Camiguin,2,GUINSILIBAN,2,CABUAN
63,Camiguin,2,GUINSILIBAN,3,CANTAAN
63,Camiguin,2,GUINSILIBAN,4,LIONG
63,Camiguin,2,GUINSILIBAN,5,MAAC
63,Camiguin,2,GUINSILIBAN,6,NORTH POBLACION
63,Camiguin,2,GUINSILIBAN,7,SOUTH POBLACION
63,Camiguin,3,MAHINOG,1,BENONI
63,Camiguin,3,MAHINOG,2,BINATUBO (BINALIWAN)
63,Camiguin,3,MAHINOG,3,CATOHUGAN
63,Camiguin,3,MAHINOG,4,HUBANGON
63,Camiguin,3,MAHINOG,5,OWAKAN
63,Camiguin,3,MAHINOG,6,POBLACION
63,Camiguin,3,MAHINOG,7,PUNTOD
63,Camiguin,3,MAHINOG,8,SAN ISIDRO
63,Camiguin,3,MAHINOG,9,SAN JOSE
63,Camiguin,3,MAHINOG,10,SAN MIGUEL
63,Camiguin,3,MAHINOG,11,SAN ROQUE
63,Camiguin,3,MAHINOG,12,TUBOD
63,Camiguin,3,MAHINOG,13,TUPSAN PEQUEÑO
63,Camiguin,4,MAMBAJAO,1,AGOHO
63,Camiguin,4,MAMBAJAO,2,ANITO
63,Camiguin,4,MAMBAJAO,3,BALBAGON
63,Camiguin,4,MAMBAJAO,4,BAYLAO
63,Camiguin,4,MAMBAJAO,5,BENHAAN
63,Camiguin,4,MAMBAJAO,6,BUG-ONG
63,Camiguin,4,MAMBAJAO,7,KUGUITA
63,Camiguin,4,MAMBAJAO,8,MAGTING
63,Camiguin,4,MAMBAJAO,9,NAASAG
63,Camiguin,4,MAMBAJAO,10,PANDAN
63,Camiguin,4,MAMBAJAO,11,POBLACION
63,Camiguin,4,MAMBAJAO,12,SORO-SORO
63,Camiguin,4,MAMBAJAO,13,TAGDO
63,Camiguin,4,MAMBAJAO,14,TUPSAN
63,Camiguin,4,MAMBAJAO,15,YUMBING
63,Camiguin,5,SAGAY,1,ALANGILAN
63,Camiguin,5,SAGAY,2,BACNIT
63,Camiguin,5,SAGAY,3,BALITE
63,Camiguin,5,SAGAY,4,BONBON
63,Camiguin,5,SAGAY,5,BUGANG
63,Camiguin,5,SAGAY,6,CUNA
63,Camiguin,5,SAGAY,7,MANUYOG
63,Camiguin,5,SAGAY,8,MAYANA
63,Camiguin,5,SAGAY,9,POBLACION
