ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
64,Misamis Oriental,1,BALINGASAG,1,BALAGNAN
64,Misamis Oriental,1,BALINGASAG,2,BALIWAGAN
64,Misamis Oriental,1,BALINGASAG,3,BARANGAY 1 (POB.)
64,Misamis Oriental,1,BALINGASAG,4,BARANGAY 2 (POB.)
64,Misamis Oriental,1,BALINGASAG,5,BARANGAY 3 (POB.)
64,Misamis Oriental,1,BALINGASAG,6,BARANGAY 4 (POB.)
64,Misamis Oriental,1,BALINGASAG,7,BARANGAY 5 (POB.)
64,Misamis Oriental,1,BALINGASAG,8,BARANGAY 6 (POB.)
64,Misamis Oriental,1,BALINGASAG,9,BINITINAN
64,Misamis Oriental,1,BALINGASAG,10,BLANCO
64,Misamis Oriental,1,BALINGASAG,11,CALAWAG
64,Misamis Oriental,1,BALINGASAG,12,CAMUAYAN
64,Misamis Oriental,1,BALINGASAG,13,COGON
64,Misamis Oriental,1,BALINGASAG,14,DANSULI
64,Misamis Oriental,1,BALINGASAG,15,BAYUGBAYUGAN
64,Misamis Oriental,1,BALINGASAG,16,TAPOROC
64,Misamis Oriental,1,BALINGASAG,17,KIBANBAN
64,Misamis Oriental,1,BALINGASAG,18,LINABU
64,Misamis Oriental,1,BALINGASAG,19,LINGGANGAO
64,Misamis Oriental,1,BALINGASAG,20,MAMBAYAAN
64,Misamis Oriental,1,BALINGASAG,21,MANDANGOA
64,Misamis Oriental,1,BALINGASAG,22,NAPALIRAN
64,Misamis Oriental,1,BALINGASAG,23,QUEZON
64,Misamis Oriental,1,BALINGASAG,24,ROSARIO
64,Misamis Oriental,1,BALINGASAG,25,SAMAY
64,Misamis Oriental,1,BALINGASAG,26,SAN FRANCISCO
64,Misamis Oriental,1,BALINGASAG,27,SAN ISIDRO
64,Misamis Oriental,1,BALINGASAG,28,SAN JUAN
64,Misamis Oriental,1,BALINGASAG,29,TALUSAN
64,Misamis Oriental,1,BALINGASAG,30,WATERFALL
64,Misamis Oriental,1,BALINGASAG,31,DUMARAIT
64,Misamis Oriental,1,BALINGASAG,32,HERMANO
64,Misamis Oriental,2,BALINGOAN,1,BAUKBAUK POB. (G.E. ANTONINO)
64,Misamis Oriental,2,BALINGOAN,2,DAHILIG
64,Misamis Oriental,2,BALINGOAN,3,KABANGASAN
64,Misamis Oriental,2,BALINGOAN,4,KABULAKAN
64,Misamis Oriental,2,BALINGOAN,5,KAUSWAGAN
64,Misamis Oriental,2,BALINGOAN,6,LAPINIG (POB.)
64,Misamis Oriental,2,BALINGOAN,7,MANTANGALE
64,Misamis Oriental,2,BALINGOAN,8,MAPUA
64,Misamis Oriental,2,BALINGOAN,9,SAN ALONZO
64,Misamis Oriental,3,BINUANGAN,1,DAMPIAS
64,Misamis Oriental,3,BINUANGAN,2,KITAMBAN
64,Misamis Oriental,3,BINUANGAN,3,KITAMBIS
64,Misamis Oriental,3,BINUANGAN,4,MABINI
64,Misamis Oriental,3,BINUANGAN,5,MOSANGOT
64,Misamis Oriental,3,BINUANGAN,6,NABATAAN
