ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
69,Dinagat Islands,1,BASILISA (RIZAL),1,BENGLEN
69,Dinagat Islands,1,BASILISA (RIZAL),2,CATADMAN
69,Dinagat Islands,1,BASILISA (RIZAL),3,COLUMBUS
69,Dinagat Islands,1,BASILISA (RIZAL),4,CORING
69,Dinagat Islands,1,BASILISA (RIZAL),5,CORTES
69,Dinagat Islands,1,BASILISA (RIZAL),6,DIEGAS
69,Dinagat Islands,1,BASILISA (RIZAL),7,DOÑA HELENE
69,Dinagat Islands,1,BASILISA (RIZAL),8,EDERA
69,Dinagat Islands,1,BASILISA (RIZAL),9,FERDINAND
69,Dinagat Islands,1,BASILISA (RIZAL),10,GEOTINA
69,Dinagat Islands,1,BASILISA (RIZAL),11,IMEE (BACTASAN)
69,Dinagat Islands,1,BASILISA (RIZAL),12,MELGAR
69,Dinagat Islands,1,BASILISA (RIZAL),13,MONTAG
69,Dinagat Islands,1,BASILISA (RIZAL),14,NAVARRO
69,Dinagat Islands,1,BASILISA (RIZAL),15,NEW NAZARETH
69,Dinagat Islands,1,BASILISA (RIZAL),16,POBLACION
69,Dinagat Islands,1,BASILISA (RIZAL),17,PUERTO PRINCESA
69,Dinagat Islands,1,BASILISA (RIZAL),18,RITA GLENDA
69,Dinagat Islands,1,BASILISA (RIZAL),19,ROMA
69,Dinagat Islands,1,BASILISA (RIZAL),20,ROXAS
69,Dinagat Islands,1,BASILISA (RIZAL),21,SANTA MONICA
69,Dinagat Islands,1,BASILISA (RIZAL),22,SANTO NIÑO
69,Dinagat Islands,1,BASILISA (RIZAL),23,SERING
69,Dinagat Islands,1,BASILISA (RIZAL),24,SOMBRADO
69,Dinagat Islands,1,BASILISA (RIZAL),25,TAG-ABACA
69,Dinagat Islands,1,BASILISA (RIZAL),26,VILLA ECLEO
69,Dinagat Islands,1,BASILISA (RIZAL),27,VILLA PANTINOPLE
69,Dinagat Islands,2,CAGDIANAO,1,BOA
69,Dinagat Islands,2,CAGDIANAO,2,CABUNGA-AN
69,Dinagat Islands,2,CAGDIANAO,3,DEL PILAR
69,Dinagat Islands,2,CAGDIANAO,4,LAGUNA
69,Dinagat Islands,2,CAGDIANAO,5,LEGASPI
69,Dinagat Islands,2,CAGDIANAO,6,MA-ATAS
69,Dinagat Islands,2,CAGDIANAO,7,MABINI (BORJA)
69,Dinagat Islands,2,CAGDIANAO,8,NUEVA ESTRELLA
69,Dinagat Islands,2,CAGDIANAO,9,POBLACION
69,Dinagat Islands,2,CAGDIANAO,11,SAN JOSE
69,Dinagat Islands,2,CAGDIANAO,12,SANTA RITA
69,Dinagat Islands,2,CAGDIANAO,13,TIGBAO
69,Dinagat Islands,2,CAGDIANAO,14,VALENCIA
69,Dinagat Islands,2,CAGDIANAO,15,R. ECLEO
69,Dinagat Islands,3,DINAGAT,1,BAGUMBAYAN
69,Dinagat Islands,3,DINAGAT,2,CABAYAWAN
69,Dinagat Islands,3,DINAGAT,3,CAB-ILAN
69,Dinagat Islands,3,DINAGAT,4,CAYETANO
69,Dinagat Islands,3,DINAGAT,5,ESCOLTA (POB.)
69,Dinagat Islands,3,DINAGAT,6,GOMEZ
69,Dinagat Islands,3,DINAGAT,7,JUSTINIANA EDERA
69,Dinagat Islands,3,DINAGAT,8,MAGSAYSAY
69,Dinagat Islands,3,DINAGAT,9,MAUSWAGON (POB.)
