ProvCode,ProvName,MunCode,MunName,Brgy Code,BrgyName
68,Surigao del Sur,1,BAYABAS,1,AMAG
68,Surigao del Sur,1,BAYABAS,2,BALETE (POB.)
68,Surigao del Sur,1,BAYABAS,3,CABUGO
68,Surigao del Sur,1,BAYABAS,4,CAGBAOTO
68,Surigao del Sur,1,BAYABAS,5,LA PAZ
68,Surigao del Sur,1,BAYABAS,6,MAGOBAWOK
68,Surigao del Sur,1,BAYABAS,7,PANAOSAWON
68,Surigao del Sur,2,CAGWAIT,1,ARAS-ASAN
68,Surigao del Sur,2,CAGWAIT,2,BACOLOD
68,Surigao del Sur,2,CAGWAIT,3,BITAUGAN EAST
68,Surigao del Sur,2,CAGWAIT,4,BITAUGAN WEST
68,Surigao del Sur,2,CAGWAIT,5,LA PURISIMA (PALHE)
68,Surigao del Sur,2,CAGWAIT,6,LACTUDAN
68,Surigao del Sur,2,CAGWAIT,7,MAT-E
68,Surigao del Sur,2,CAGWAIT,8,POBLACION
68,Surigao del Sur,2,CAGWAIT,9,TAWAGAN
68,Surigao del Sur,2,CAGWAIT,10,TUBO-TUBO
68,Surigao del Sur,2,CAGWAIT,11,UNIDAD
68,Surigao del Sur,3,CANTILAN,1,BUGSUKAN
68,Surigao del Sur,3,CANTILAN,2,BUNTALID
68,Surigao del Sur,3,CANTILAN,3,CABANGAHAN
68,Surigao del Sur,3,CANTILAN,4,CABAS-AN
68,Surigao del Sur,3,CANTILAN,5,CALAGDAAN
68,Surigao del Sur,3,CANTILAN,6,CONSUELO
68,Surigao del Sur,3,CANTILAN,7,GENERAL ISLAND
68,Surigao del Sur,3,CANTILAN,8,LININTI-AN (POB.)
68,Surigao del Sur,3,CANTILAN,9,LOBO
68,Surigao del Sur,3,CANTILAN,10,MAGASANG
68,Surigao del Sur,3,CANTILAN,11,MAGOSILOM (POB.)
68,Surigao del Sur,3,CANTILAN,12,PAG-ANTAYAN
68,Surigao del Sur,3,CANTILAN,13,PALASAO
68,Surigao del Sur,3,CANTILAN,14,PARANG
68,Surigao del Sur,3,CANTILAN,15,SAN PEDRO
68,Surigao del Sur,3,CANTILAN,16,TAPI
68,Surigao del Sur,3,CANTILAN,17,TIGABONG
68,Surigao del Sur,4,CARMEN,1,ANTAO
68,Surigao del Sur,4,CARMEN,2,CANCAVAN
68,Surigao del Sur,4,CARMEN,3,CARMEN (POB.)
68,Surigao del Sur,4,CARMEN,4,ESPERANZA
68,Surigao del Sur,4,CARMEN,5,HINAPOYAN
68,Surigao del Sur,4,CARMEN,6,PUYAT
68,Surigao del Sur,4,CARMEN,7,SAN VICENTE
68,Surigao del Sur,4,CARMEN,8,SANTA CRUZ
68,Surigao del Sur,4,CARMEN,9,SAN ROQUE
68,Surigao del Sur,5,CARRASCAL,1,ADLAY
68,Surigao del Sur,5,CARRASCAL,2,BABUYAN
68,Surigao del Sur,5,CARRASCAL,3,BACOLOD
68,Surigao del Sur,5,CARRASCAL,4,BAYBAY (POB.)
68,Surigao del Sur,5,CARRASCAL,5,BON-OT
68,Surigao del Sur,5,CARRASCAL,6,CAGLAYAG
68,Surigao del Sur,5,CARRASCAL,7,DAHICAN
68,Surigao del Sur,5,CARRASCAL,8,DOYOS (POB.)
68,Surigao del Sur,5,CARRASCAL,9,EMBARCADERO (POB.)
68,Surigao del Sur,5,CARRASCAL,10,GAMUTON
68,Surigao del Sur,5,CARRASCAL,11,PANIKIAN
68,Surigao del Sur,5,CARRASCAL,12,PANTUKAN
68,Surigao del Sur,5,CARRASCAL,13,SACA (POB.)
68,Surigao del Sur,5,CARRASCAL,14,TAG-ANITO
68,Surigao del Sur,6,CORTES,1,BALIBADON
68,Surigao del Sur,6,CORTES,2,BURGOS
68,Surigao del Sur,6,CORTES,3,CAPANDAN
68,Surigao del Sur,6,CORTES,4,MABAHIN
68,Surigao del Sur,6,CORTES,5,MADRELINO
68,Surigao del Sur,6,CORTES,6,MANLICO
68,Surigao del Sur,6,CORTES,7,MATHO
68,Surigao del Sur,6,CORTES,8,POBLACION
68,Surigao del Sur,6,CORTES,9,TAG-ANONGAN
68,Surigao del Sur,6,CORTES,10,TIGAO
68,Surigao del Sur,6,CORTES,11,TUBORAN
68,Surigao del Sur,6,CORTES,12,UBA
68,Surigao del Sur,7,LANUZA,1,AGSAM
68,Surigao del Sur,7,LANUZA,2,BOCAWE
68,Surigao del Sur,7,LANUZA,3,BUNGA
68,Surigao del Sur,7,LANUZA,4,GAMUTON
68,Surigao del Sur,7,LANUZA,5,HABAG
68,Surigao del Sur,7,LANUZA,6,MAMPI
68,Surigao del Sur,7,LANUZA,7,NURCIA
68,Surigao del Sur,7,LANUZA,8,PAKWAN
68,Surigao del Sur,7,LANUZA,9,SIBAHAY
68,Surigao del Sur,7,LANUZA,10,ZONE I (POB.)
68,Surigao del Sur,7,LANUZA,11,ZONE II (POB.)
68,Surigao del Sur,7,LANUZA,12,ZONE III (POB.)
68,Surigao del Sur,7,LANUZA,13,ZONE IV (POB.)
68,Surigao del Sur,8,LIANGA,1,ANIBONGAN
68,Surigao del Sur,8,LIANGA,2,BANAHAO
68,Surigao del Sur,8,LIANGA,3,BAN-AS
68,Surigao del Sur,8,LIANGA,4,BAUCAWE
68,Surigao del Sur,8,LIANGA,5,DIATAGON
68,Surigao del Sur,8,LIANGA,6,GANAYON
68,Surigao del Sur,8,LIANGA,7,LIATIMCO
68,Surigao del Sur,8,LIANGA,8,MANYAYAY
68,Surigao del Sur,8,LIANGA,9,PAYASAN
68,Surigao del Sur,8,LIANGA,10,POBLACION
68,Surigao del Sur,8,LIANGA,11,SAINT CHRISTINE
68,Surigao del Sur,8,LIANGA,12,SAN ISIDRO
68,Surigao del Sur,8,LIANGA,13,SAN PEDRO
68,Surigao del Sur,9,MADRID,1,BAGSAC
68,Surigao del Sur,9,MADRID,2,BAYOGO
68,Surigao del Sur,9,MADRID,3,LINIBONAN
68,Surigao del Sur,9,MADRID,4,MAGSAYSAY
68,Surigao del Sur,9,MADRID,5,MANGA
68,Surigao del Sur,9,MADRID,6,PANAYOGON
68,Surigao del Sur,9,MADRID,7,PATONG PATONG
68,Surigao del Sur,9,MADRID,8,QUIRINO (POB.)
68,Surigao del Sur,9,MADRID,9,SAN ANTONIO
68,Surigao del Sur,9,MADRID,10,SAN JUAN
68,Surigao del Sur,9,MADRID,11,SAN ROQUE
